int	ugol	az
0	0,0	0
20	0,4	0
40	0,7	0
60	0,8	0
80	0,7	1
100	0,8	1
120	0,8	2
140	1,0	2
160	1,0	2
180	1,0	3
200	1,0	3
220	1,1	4
240	1,3	5
260	1,5	5
280	1,5	6
300	1,5	7
320	1,5	5
340	1,5	5
360	1,7	3
380	2,0	1
400	2,0	0
420	2,0	0
440	2,1	0
460	2,1	0
480	2,3	0
500	2,4	0
520	2,3	-1
540	2,5	-1
560	3,1	-2
580	3,3	-3
600	3,3	-4
620	3,4	-4
640	3,6	-4
660	3,6	-5
680	3,7	-7
700	4,0	-9
720	5,0	-10
740	5,1	-9
760	5,3	-9
780	5,5	-7
800	6,0	-5
820	6,6	-5
840	6,6	-3
860	6,5	-2
880	6,7	-1
900	6,8	0
920	7,1	0
940	7,2	0
960	8,0	0
980	8,5	0
1000	9,0	0
1020	9,1	0
1040	9,6	0
1060	9,7	0
1080	9,5	0
1100	9,7	0
1120	10,1	0
1140	10,7	0
1160	11,1	0
1180	11,1	0
1200	12,1	0
1220	13,2	1
1240	14,4	3
1260	14,3	7
1280	14,7	11
1300	15,3	13
1320	16,4	13
1340	17,7	15
1360	17,5	19
1380	17,9	20
1400	18,4	21
1420	18,7	21
1440	19,2	21
1460	19,9	21
1480	19,8	21
1500	19,9	21
1520	20,1	21
1540	22,2	21
1560	25,3	22
1580	26,9	22
1600	26,7	22
1620	33,3	22
1640	44,4	22
1660	45,5	22
1680	45,6	22
1700	45,7	22
1720	45,5	23
1740	46,7	25
1760	50,3	23
1780	54,7	21
1800	60,6	21
1820	66,6	18
1840	69,9	17
1860	77,7	15
1880	80,0	15
1900	80,8	15
1920	85,7	15
1940	90,0	13
1960	89,9	12
1980	89,6	11
2000	90,1	11
