int	ugol	az
0	0,0	0
20	0,1	0
40	0,2	0
60	0,3	0
80	0,4	0
100	0,5	0
120	0,6	0
140	0,7	0
160	0,8	0
180	0,9	0
200	1,0	0
220	1,1	0
240	1,2	0
260	1,3	0
280	1,4	0
300	1,5	0
320	1,6	0
340	1,7	0
360	1,8	0
380	1,9	0
400	2,0	0
420	2,0	0
440	2,0	0
460	2,0	0
480	2,0	0
500	2,0	0
520	2,0	0
540	2,0	0
560	2,0	0
580	2,0	0
600	2,0	0
620	2,0	0
640	2,0	0
660	2,0	0
680	2,0	0
700	2,0	0
720	2,0	0
740	2,0	0
760	2,0	0
780	2,0	0
800	2,0	0
820	2,0	0
840	2,0	0
860	2,0	0
880	2,0	0
900	2,0	0
920	2,0	0
940	2,0	0
960	2,0	0
980	2,0	0
1000	2,0	0
1020	2,0	0
1040	2,0	0
1060	2,0	0
1080	2,0	0
1100	2,0	0
1120	2,0	0
1140	2,0	0
1160	2,0	0
1180	2,0	0
1200	2,0	0
1220	2,0	0
1240	2,0	0
1260	2,0	0
1280	2,0	0
1300	2,0	0
1320	2,0	0
1340	2,0	0
1360	2,0	0
1380	2,0	0
1400	2,0	0
1420	4,0	0
1440	6,0	0
1460	9,0	0
1480	12,0	0
1500	15,0	0
1520	18,0	0
1540	21,0	0
1560	24,0	0
1580	27,0	0
1600	30,0	0
1620	33,0	0
1640	36,0	0
1660	39,0	0
1680	42,0	0
1700	45,0	0
1720	48,0	0
1740	51,0	0
1760	54,0	0
1780	57,0	0
1800	60,0	0
1820	63,0	0
1840	66,0	0
1860	69,0	0
1880	72,0	0
1900	75,0	0
1920	78,0	0
1940	81,0	0
1960	84,0	0
1980	87,0	0
2000	90,0	0
